dataset	tf	intra_group_weight	inter_group_weight	overlapping_group_weight	final_k
GSE17954	runx	25.055085341077877	6.458509990455797	0.9584490997383504	10
GSE25000	tal1_scl	26.644425658341387	1.500758785870049	1.0227201416891034	10
GSE29180	gata3	2.192149648136456	2.2722908248384144	1.01530804716351	5.057454000118072
GSE29180	runx1	1.7182075031128208	2.6814080499657615	1.0148518997462523	4.675641332039357
GSE29180	tal1	14.939336666674919	2.2908937113158694	1.0269764209066683	10
GSE29180	tcf12	14.269361143744561	1.980849563465391	1.0199270119552881	10
GSE29180	tcf3	22.95215487084577	2.9090755641567903	0.9485943958294056	10
GSE42575	runx1	1.8889809692892647	2.1759957119631452	1.0274094299469045	4.223078607146618
GSE45864	fancl	12.679635674674381	1.1555678662049909	1.005316000986051	10
GSE49091	erg	1.4241779091247893	3.1927981735203756	0.8743888213639357	3.9759444505505686
GSE49091	gabpa	1.0880154439291472	3.4057756970693704	0.7831700104516618	2.9020651040512346
GSE50622	cdk7	1.9906897828071382	0.8931909112730155	1.2441527141427462	2.212185666160401
GSE59657	med1	2.397483532657218	1.3745935565832759	1.0071651182660766	3.3191785319643903
GSE59657	myb	1.0536595697124536	2.5294385476645043	0.5727709447202406	1.5265302958876479
GSE68976	ctcf	3.457529324282765	3.420902494177795	0.9803427188972011	10
GSE68976	gata3	1.203475660897628	2.0893413623698485	1.042969226477773	2.6225163712824284
GSE68976	runx1	0.9762046315960765	2.988699902402977	0.9713138523192404	2.833888479341354
GSE76181	gata3	0.9838762356731366	3.4863716439683903	0.8531375933401366	2.926396919394287
GSE76181	runx1	0.837690610654648	3.541422860862688	0.8732483992816141	2.5905932661336553
GSE83777	brd4	0.973578038438914	0.9389935638360117	-0.14687224165064672	-0.13426818168547838
GSE83777	cdk7	1.010208413951994	1.1215195048693074	0.8794474699399599	0.9963862282823149
GSE83777	myc	1.4599901928215406	0.983395480815122	1.0676992385053086	1.5329467875340563
