dataset	tf	intra_group_weight	inter_group_weight	overlapping_group_weight	final_k
ENCSR000AHD	ctcf	1.0247848218276465	1.9328546410031193	0.852981269558948	1.68955126385068
ENCSR000AHD	esr1	0.7420437158711026	1.0052787915155965	0.9894263595437214	0.7380732885438368
ENCSR000BST	ctcf	0.9328567011724344	1.563691543718684	0.9895359469076639	1.4434362194649009
ENCSR000BST	esr1	0.6817161881136724	1.157530918757733	0.9784600375101393	0.7721102181966275
ENCSR000BST	gata3	1.2202825983230816	3.3989224884313707	0.5955669533403865	2.4702008713156474
ENCSR000BSU	ctcf	1.090753305478765	1.4499125146096665	1.0025843639016305	1.5855840313816338
ENCSR000BSU	esr1	0.7854214583911343	1.085978823563438	1.0065037191122712	0.8584984255698832
ENCSR000BSU	jund	5.685330710140424	2.7519257807185267	0.9679885335187343	10
ENCSR000BTQ	ctcf	1.0347253943175345	1.7130052225364494	0.9954698404948623	1.764460341916024
ENCSR000BTQ	esr1	0.7485549031662159	1.0845783333672074	0.9880745152122546	0.8021845285574498
ENCSR000BTQ	rad21	1.8002530912032513	2.5136519059391156	0.5209295494018158	2.3573154051051044
ENCSR000BTR	ctcf	1.0770540073397856	1.2981544023621496	1.001023347393899	1.3996132275264113
ENCSR000BTR	ep300	4.352921637913071	2.212199387162208	0.8515839064463872	8.200353268353908
ENCSR000BTR	esr1	0.7765264222206021	1.1243403073737983	1.0045423501470152	0.8770457911109858
ENCSR000BUJ	ctcf	1.087317987142665	1.4447140775774798	1.0055921489940784	1.5796481061446077
ENCSR000BUJ	esr1	0.7832667630628392	1.105121214927382	1.004054366692813	0.8691141957412117
ENCSR000BUJ	foxm1	4.691871828022798	2.2300813873676772	0.34598368514609523	3.620115881819998
ENCSR000BUL	ctcf	0.8750029206373449	1.6857791790373413	0.9966115005147124	1.4700634593784367
ENCSR000BUL	esr1	0.6436025515692881	1.1354930240001349	0.9965012830739601	0.7282493234876539
ENCSR000BUL	max	1.4250630323775981	2.6140843941209875	0.4167543810549853	1.5525080207027344
ENCSR000DMJ	ctcf	0.8421733192227695	1.6631311353199651	1.0086816819522881	1.4128046200755384
ENCSR000DMJ	esr1	0.6218275458081752	1.0815808965405034	1.0043856066058199	0.6755063640094862
ENCSR000DMJ	myc	0.9586824621005077	2.1354386644047447	0.8068833033448298	1.6518576280611759
ENCSR000DML	ctcf	0.986662179414096	2.5973685149387262	0.8502093983684942	2.178853118229814
ENCSR000DML	esr1	0.7198296238287013	1.0547415248448258	0.9865810592464077	0.7490460763838757
ENCSR000DMM	ctcf	0.7980028075264977	1.6880545951694155	1.006517957475919	1.3558524662120197
ENCSR000DMM	esr1	0.5919072540945465	1.0941886618224657	1.0062376601652685	0.6516980780747486
ENCSR000DMM	myc	0.9057345964652521	1.970115184853663	0.6152739953815882	1.097895829160203
ENCSR000DMO	ctcf	0.9118276655484032	2.956629417338563	0.8529916830482038	2.2996114121026228
ENCSR000DMO	esr1	0.6708486539132325	1.0666282382528396	0.9852491129637226	0.7049911779039933
ENCSR000DMP	ctcf	1.1100251163740942	1.4778118105298885	1.012072751852053	1.660212468422634
ENCSR000DMP	esr1	0.7976129801907565	1.0315799820216716	1.0105196234252998	0.8314571465803852
