dataset	tf	intra_group_weight	inter_group_weight	overlapping_group_weight	final_k
ENCSR264RJX	pou5f1	2.035303206170858	3.6707581962811995	0.9631649559281827	7.195907409920795
GSE13084	ezh2	8.77947788050683	16.23539468609376	1.0029472982401324	10
GSE17917	ep300	3.3764202235649288	2.193769622339667	0.9655546520989778	7.151948391527553
GSE17917	pou5f1	2.4283565969873364	3.1936316168169383	0.9991251161063032	7.748491438626805
GSE18292	nanog	0.6963292792093607	5.309897353281054	0.913612429949586	3.378024399127694
GSE18292	sox2	1.0674607531731621	4.226035172501576	0.9650795415595714	4.3535960761408905
GSE20650	ctcf	0.5394313007836655	10.169783301523692	0.9156728013146456	5.023288903403368
GSE20650	nanog	0.6773247964943079	2.884794769951898	0.9220158602007296	1.8015664640363207
GSE20650	pou5f1	0.9764615263862865	1.815935700836559	0.9940420241023915	1.762626714955363
GSE29422	smad3	1.7100603061553568	3.460660563825729	0.9591900915034801	5.676427744263265
GSE33281	brd4	1.0138070526409313	1.1751368338984423	-0.0014887901602427256	-0.0017736880378112854
GSE58685	pdx1	7.9468187995848485	4.252496581494548	1.000987186468264	10
GSE64758	lef1	5.996110918173905	2.500920539794367	0.995127199233924	10
GSE64758	nipbl	3.0983858809618936	4.203822147925619	0.9854688990518623	10
GSE69479	sox2	2.6004317619034945	2.350039774609013	0.9741724959400061	5.953283144823686
GSE69539	pgr	3.794501744416309	7.325620408182332	1.0000968735730815	10
GSE75297	smad3	2.7576828276570047	1.6559864050416615	0.9994019414390647	4.56395412679482
